Unnamed: 0,z,press,temp,rmix,den,o3den
0,0,0.0,101300.0,300.0,0.019000001000000002,1.167,5.6000005000000003e-08
1,1,1000.0,90400.0,294.0,0.013000000000000001,1.064,5.6000005000000003e-08
2,2,2000.0,80500.0,288.0,0.009290000000000001,0.9689001,5.4e-08
3,3,3000.0,71500.0,284.0,0.0047,0.87560004,5.0999999999999993e-08
4,4,4000.0,63300.0,277.0,0.0026600002,0.79510003,4.7000004000000005e-08
5,5,5000.0,55900.0,270.0,0.0015300000000000001,0.7199001,4.5000004e-08
6,6,6000.0,49200.0,264.0,0.0008600000300000001,0.6501,4.3000004e-08
7,7,7000.0,43200.0,257.0,0.000471,0.5855,4.0999999999999997e-08
8,8,8000.0,37800.0,250.0,0.00025,0.5258,3.9e-08
9,9,9000.0,32900.0,244.0,0.00012100000500000001,0.4708,3.9e-08
10,10,10000.0,28600.0,237.0,4.9000002000000004e-05,0.42020002,3.9e-08
11,11,11000.0,24700.0,230.0,1.7899999999999998e-05,0.374,4.0999999999999997e-08
12,12,12000.0,21300.0,224.0,6.0800003e-06,0.3316,4.3000004e-08
13,13,13000.0,18200.0,217.0,1.79e-06,0.2929,4.5000004e-08
14,14,14000.0,15600.0,210.0,9.860001e-07,0.2578,4.5000004e-08
15,15,15000.0,13200.0,204.0,7.57e-07,0.22600001,4.7000004000000005e-08
16,16,16000.0,11100.0,197.0,6.37e-07,0.1972,4.7000004000000005e-08
17,17,17000.0,9370.0,195.0,5.4500003e-07,0.16760002,6.900000000000001e-08
18,18,18000.0,7890.0,199.0,4.4900003000000007e-07,0.1382,9.000001e-08
19,19,19000.0,6660.0,203.0,3.7200002000000007e-07,0.11450001,1.4000001000000002e-07
20,20,20000.0,5650.0,207.0,3.09e-07,0.09515001,1.9000001000000002e-07
21,21,21000.0,4800.0,211.0,2.58e-07,0.07937999999999999,2.4e-07
22,22,22000.0,4090.0002,215.0,2.16e-07,0.06645,2.8000002000000004e-07
23,23,23000.0,3500.0,217.0,1.8300001000000002e-07,0.056180004000000006,3.2e-07
24,24,24000.0,3000.0,219.0,1.5500001e-07,0.047630005,3.4e-07
25,25,25000.0,2570.0,221.0,1.31e-07,0.040450003,3.4e-07
26,26,30000.0,1220.0,232.0,5.9500000000000003e-08,0.018310001,2.4e-07
27,27,35000.0,600.0,243.0,2.8000002e-08,0.008600001,9.200001e-08
28,28,40000.0,305.0,254.0,1.3600000000000001e-08,0.0041810004,4.0999999999999997e-08
29,29,45000.0,159.0,265.0,6.8200006e-09,0.002097,1.3e-08
30,30,50000.0,85.39999399999999,270.0,3.5800003e-09,0.001101,4.3000004e-09
31,31,70000.0,5.7999997,219.0,2.9900002000000004e-10,9.209999999999999e-05,8.6000006e-11
32,32,100000.0,0.1,210.0,1.6300001e-12,5.0000006e-07,4.2999999999999993e-14
